"","text"
"1"," vaksin  rcaya abang janji abang delete rcaya lak"
"2"," vaksin  rcaya l kurus rcaya bagus"
"3"," vaksin  rcaya l kurus rcaya bagus"
"4"," testimoni ra dokter yg  menjalani vaksinasi   vaksin sinovac aman efektif suci halal thayyib masi"
"5"," vaksin  rcaya l kurus rcaya bagus"
"6"," vaksin  rcaya l kurus rcaya bagus"
"7"," vaksin  rcaya ds man mintak  rcaya ak"
"8"," sinovac     tahauji   keamanan  efektifitasnyauji klinik fase"
"9"," vaksin  rcaya l kurus rcaya bagus"
"10"," tipe tipe ekspresi muka   vaksin chek "
"11","  chierick   botol vaksin corona  barcode "
"12"," vaksin  rcaya  mengandung makan kicaanak  hitam rcaya lak"
"13"," masyarakat jngn mudah rcaya hoax vaksin   nyebar hoax vaksin  terdat uu ite terkait nyebaran h"
"14"," vaksin  rcaya l kurus rcaya bagus"
"15"," emang  ngehallalin vaksin murah  ngehallalin ciwi aje butuh biaya gk sdikit "
"16"," vaksin  rcaya l kurus rcaya bagus"
"17"," vaksin  rcaya abang janji abang delete rcaya lak"
"18"," vaksin  rcaya l kurus rcaya bagus"
"19"," vaksin  rcaya janji manis lelaki rcaya ak"
"20"," vaksin  rcaya rahsia anak rtama sami anak  rcaya lak"
"21"," vaksin  rcaya l kurus rcaya bagus"
"22","wkwkwkwkkwwk kawanku   ga percaya vaksin  percaya pil kurus  pil  "
"23","vaksin  rcaya rahsia tahi lalat melekat kat tubuh rcaya lak "
"24"," sti info   ketersediaan vaksin   wacana meresahkan kadang   habis kir begit "
"25"," vaksin  rcaya  mengandung makan kicaanak  hitam rcaya lak"
"26"," vaksin  rcaya abang janji abang delete rcaya lak"
"27"," vaksin  rcaya rahsia anak rtama sami anak  rcaya lak"
"28"," vaksin  rcaya  mengandung makan kicaanak  hitam rcaya lak"
"29"," vaksin  rcaya l kurus rcaya bagus"
"30","  orang nomor   indonesia bak menerima vaksin c  rtama  bentuk tanggungjawab "
"31"," vaksin  rcaya l kurus rcaya bagus"
"32","  nies nyerah  lemr handuk krn tdk sanggulagi menangani covid   merintah sat utk mengambil"
"33"," vaksin  rcaya janji manis lelaki rcaya ak"
"34"," vaksin  rcaya ds man mintak  rcaya ak"
"35"," gilakkk     teriak rugi  diden k  digarong sm oknum berengsek  terb"
"36"," vaksin  rcaya  mengandung makan kicaanak  hitam rcaya lak"
"37"," info  vaksinuntuk nggunaan vaksin  bpom    produksi  tahadistribusi keseluruha"
"38"," vaksin  rcaya  mengandung makan kicaanak  hitam rcaya lak"
"39"," vaksin  rcaya abang janji abang delete rcaya lak"
"40"," vaksin  rcaya  mengandung makan kicaanak  hitam rcaya lak"
"41","  rujuk nasihat artis ahli litik guru lsu nyokong vaksin rujuklah waris rasul "
"42"," masyarakat   khawatir vaksin sinovac aman halalsuci  efektif fix ya  "
"43"," vaksin  rcaya l kurus rcaya bagus"
